10,0.000037,0.000003,7
10,0.000050,0.000003,7
10,0.000035,0.000002,2
10,0.000057,0.000003,7
10,0.000023,0.000001,7
10,0.000051,0.000004,7
10,0.000034,0.000002,7
10,0.000032,0.000001,7
10,0.000042,0.000004,7
10,0.000056,0.000005,7
10,0.000043,0.000003,7
10,0.000031,0.000003,7
10,0.000052,0.000004,7
10,0.000054,0.000003,7
10,0.000048,0.000003,7
10,0.000040,0.000002,7
10,0.000039,0.000002,7
10,0.000034,0.000002,7
10,0.000055,0.000003,7
10,0.000060,0.000003,7
10,0.000365,0.000003,6
10,0.000035,0.000002,3
10,0.000033,0.000004,10
10,0.000050,0.000003,10
10,0.000033,0.000002,10
10,0.000036,0.000004,10
10,0.000035,0.000003,6
10,0.000039,0.000002,6
10,0.000033,0.000002,6
10,0.000033,0.000003,6
10,0.000033,0.000003,6
10,0.000047,0.000002,6
10,0.000055,0.000002,5
10,0.000048,0.000002,7
10,0.000036,0.000003,7
10,0.000034,0.000002,10
10,0.000035,0.000004,10
10,0.000041,0.000004,10
10,0.000033,0.000003,10
10,0.000033,0.000003,10
10,0.000036,0.000002,8
10,0.000098,0.000004,8
10,0.000040,0.000003,8
10,0.000047,0.000002,8
10,0.000040,0.000004,8
10,0.000032,0.000001,1
10,0.000033,0.000002,1
10,0.000035,0.000001,1
10,0.000044,0.000002,1
10,0.000040,0.000002,1
100,0.000066,0.000010,99
100,0.000063,0.000003,25
100,0.000066,0.000003,25
100,0.000228,0.000005,25
100,0.000080,0.000009,81
100,0.000063,0.000009,81
100,0.000063,0.000008,81
100,0.000068,0.000131,81
100,0.000062,0.000010,90
100,0.000072,0.000010,90
100,0.000068,0.000010,90
100,0.000073,0.000010,90
100,0.000078,0.000003,16
100,0.000179,0.000003,16
100,0.000065,0.000007,67
100,0.000070,0.000008,67
100,0.000067,0.000011,99
100,0.000063,0.000007,67
100,0.000071,0.000006,48
100,0.000074,0.000009,67
100,0.000068,0.000005,48
100,0.000068,0.000006,48
100,0.000081,0.000005,48
100,0.000106,0.000011,99
100,0.000071,0.000011,99
100,0.000067,0.000012,99
100,0.000069,0.000007,64
100,0.000068,0.000007,64
100,0.000067,0.000008,64
100,0.000067,0.000006,50
100,0.000073,0.000006,50
100,0.000071,0.000006,50
100,0.000073,0.000007,65
100,0.000109,0.000008,64
100,0.000067,0.000008,65
100,0.000068,0.000006,50
100,0.000068,0.000007,65
100,0.000071,0.000008,75
100,0.000066,0.000003,26
100,0.000075,0.000004,26
100,0.000068,0.000003,26
100,0.000121,0.000008,27
100,0.000088,0.000004,27
100,0.000062,0.000010,91
100,0.000137,0.000018,91
100,0.000063,0.000009,91
100,0.000069,0.000005,43
100,0.000067,0.000003,17
100,0.000085,0.000003,17
100,0.000068,0.000004,20
100,0.000000,0.000000,76
10000,0.002644,0.000022,4932
10000,0.003677,0.000028,4932
10000,0.004479,0.000038,6848
10000,0.004224,0.000042,6848
10000,0.003466,0.000240,8877
10000,0.003408,0.000056,8877
10000,0.003720,0.000049,8877
10000,0.003062,0.000011,5405
10000,0.003496,0.000004,534
